# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
5.211947111050799924e-09, 2.675106023074026220e+06, 2.213171129298640788e+07
5.482769649208535777e-09, 2.285096138861042447e+06, 1.989092590176980570e+07
5.767664633922509555e-09, 1.951935175062560709e+06, 1.787707249766652659e+07
6.067363295885059185e-09, 1.673422989070412936e+06, 1.612580470966124535e+07
6.382634861905482558e-09, 1.429426452954893932e+06, 1.449327441069837287e+07
6.714288529259509001e-09, 1.220998808607963379e+06, 1.302607523428136669e+07
7.063175542629608811e-09, 1.042955977264436078e+06, 1.170746330603770725e+07
7.430191378967006415e-09, 8.908695790332183242e+05, 1.052239343684185669e+07
7.816278045883292923e-09, 7.609559399881107965e+05, 9.457336749789075926e+06
8.222426499470713005e-09, 6.499832203197013587e+05, 8.500139493278734386e+06
8.649679187756937814e-09, 5.551904613513174700e+05, 7.639877407343397848e+06
9.099132726322508595e-09, 4.742192024933056673e+05, 6.866734255960430950e+06
9.571940712948442686e-09, 4.050544170286895824e+05, 6.171883675007218495e+06
1.006931668851804562e-08, 3.459751087780084345e+05, 5.547398302860640921e+06
1.059253725177287621e-08, 2.955107383440349367e+05, 4.986147593549910001e+06
1.114294533591729230e-08, 2.524055654313538398e+05, 4.481730742416606285e+06
1.172195365548130236e-08, 2.155865025966430840e+05, 4.028388671731948387e+06
1.233104833228909634e-08, 1.841370943918164703e+05, 3.620949361092983279e+06
1.297179270983955861e-08, 1.572743386540545616e+05, 3.254761956558805425e+06
1.364583136588923983e-08, 1.343295166193436016e+05, 2.925649505952313542e+06
1.435489433353654691e-08, 1.172797974745161773e+05, 2.688272497839303222e+06
1.510080154164146180e-08, 1.001690024557131546e+05, 2.416534067850413732e+06
1.588546748597777465e-08, 8.555402914178789069e+04, 2.172302533806170337e+06
1.671090614310706979e-08, 7.307089681600723998e+04, 1.952791482680318877e+06
1.757923613958693077e-08, 6.240871809853297600e+04, 1.755497400330364937e+06
1.849268618978079709e-08, 5.330191080351343408e+04, 1.578169718124257401e+06
1.945360081622663184e-08, 4.552365353551619046e+04, 1.418786918927540770e+06
2.046444636724671542e-08, 3.888016358553986356e+04, 1.275531221334787551e+06
2.152781734724369502e-08, 3.320593792784757534e+04, 1.146769697726835031e+06
2.264644307593057319e-08, 2.835960390577611543e+04, 1.031034745128834504e+06
2.382319469358689039e-08, 2.422039071523640814e+04, 9.270069131656818790e+05
2.506109253032113907e-08, 2.068513763320512589e+04, 8.335002647029724903e+05
2.636331385825381413e-08, 1.766576583404358826e+04, 7.494504970395220444e+05
2.773320104651840969e-08, 1.508700451739756681e+04, 6.738996038618042367e+05
2.917427014001165809e-08, 1.288457759099727809e+04, 6.059873188605259638e+05
3.069021988391154998e-08, 1.100356813648656680e+04, 5.449397699144778308e+05
3.228494121712631338e-08, 9.397085769748120583e+03, 4.900622397628800245e+05
3.396252725904081622e-08, 8.025078573701243840e+03, 4.407303535849844338e+05
3.572728381519288657e-08, 6.853329155406710925e+03, 3.963825566310716677e+05
3.758374042884442742e-08, 5.852620613191505072e+03, 3.565146828296996537e+05
3.953666200681278862e-08, 4.997989381524341297e+03, 3.206731068600164144e+05
4.159106104940218542e-08, 4.268116789898248499e+03, 2.884503106281817891e+05
4.375221051582515913e-08, 3.644797873787464141e+03, 2.594802816623219405e+05
4.602565735813553354e-08, 3.112481546682334738e+03, 2.334339342042718781e+05
4.841723675840988696e-08, 2.657885186607318246e+03, 2.100154685483823123e+05
5.093308710571952695e-08, 2.269663232873702327e+03, 1.889589477700715070e+05
5.357966575133417533e-08, 1.938128818600948307e+03, 1.700256214708125044e+05
5.636376558259543076e-08, 1.655007237632426722e+03, 1.530008075590773369e+05
5.929253245799994260e-08, 1.413230881097780184e+03, 1.376915211020072165e+05
6.237348354824184070e-08, 1.206762879348958450e+03, 1.239242413161588192e+05
6.561452663029043443e-08, 1.030449670561397170e+03, 1.115432432575489511e+05
6.902398038402412175e-08, 8.798877270390941021e+02, 1.004083450538559700e+05
7.261059574351543687e-08, 7.513174862345969132e+02, 9.039368785485740227e+04
7.638357835776907026e-08, 6.415273697030193034e+02, 8.138605999282385164e+04
8.035261221856177783e-08, 5.477754567057955910e+02, 7.328381389771493559e+04
8.452788451602899226e-08, 4.677195979253702944e+02, 6.599552864138777659e+04
8.892011178579481813e-08, 3.993595689224235912e+02, 5.943903341369280679e+04
9.354056741475511679e-08, 3.409871824810435896e+02, 5.354047273343957932e+04
9.840111057611325498e-08, 2.911435816632010756e+02, 4.823345073785480054e+04
1.035142166679343147e-07, 2.485833218827787903e+02, 4.345835585463512689e+04
1.088930093333433319e-07, 2.122423128886754000e+02, 3.916152185845310305e+04
1.145512941445534903e-07, 1.812120961205282015e+02, 3.529475206381254247e+04
1.205035940371795992e-07, 1.547168282272146200e+02, 3.181471447426730811e+04
1.267651865857844781e-07, 1.320940445907524747e+02, 2.868247390941076810e+04
1.333521432163324045e-07, 1.127779085017425160e+02, 2.586300503564748578e+04
1.402813704561957486e-07, 9.628526253713884842e+01, 2.332482891962190843e+04
1.475706533275893077e-07, 8.220355181433278347e+01, 2.103965450500790394e+04
1.552387009958081715e-07, 7.018042108860178985e+01, 1.898203228420334199e+04
1.633051947894334705e-07, 5.991513350989366415e+01, 1.712912266669501332e+04
1.717908387157587761e-07, 5.115074397333498268e+01, 1.546035403429645521e+04
1.807174126010925653e-07, 4.366788217196342003e+01, 1.395724079278432509e+04
1.901078279923299666e-07, 3.727923591617410182e+01, 1.260316493627838099e+04
1.999861869632742842e-07, 3.182484998107646845e+01, 1.138318086411300283e+04
2.103778439766472978e-07, 2.716817927392087739e+01, 1.028386376062884847e+04
2.213094709605636295e-07, 2.319258966598017579e+01, 9.293127158322855394e+03
2.328091257665007940e-07, 1.979850550701050338e+01, 8.400107544496353512e+03
2.449063241844743992e-07, 1.690090832660998998e+01, 7.595037811477903233e+03
2.576321157002572855e-07, 1.442719783220834806e+01, 6.869131055338578335e+03
2.710191631890842058e-07, 1.231538467806688431e+01, 6.214484218922304535e+03
2.851018267503907082e-07, 1.051256055245617205e+01, 5.623999595801619762e+03
2.999162518987646980e-07, 8.973526912095115549e+00, 5.091280879474422363e+03
3.155004623374623941e-07, 7.659702580307628850e+00, 4.610579634048612206e+03
3.318944575526103405e-07, 6.538146879436890657e+00, 4.176724933285487168e+03
3.491403154785858900e-07, 5.580734473774997539e+00, 3.785064487248311252e+03
3.672823004980842474e-07, 4.763451028667914144e+00, 3.431411739803305863e+03
3.863669770540689493e-07, 4.065802245219840572e+00, 3.112006177159466461e+03
4.064433291652127549e-07, 3.470280340151220333e+00, 2.823456543542967665e+03
4.275628861515860074e-07, 2.961941575070689225e+00, 2.562713695629867289e+03
4.497798548932875053e-07, 2.528029056546043485e+00, 2.327034665093598960e+03
4.731512589614802628e-07, 2.157650700023032275e+00, 2.113949814967309976e+03
4.977370849789355307e-07, 1.841508787080055498e+00, 1.921237336186263974e+03
5.236004365857494849e-07, 1.571664326284955671e+00, 1.746895798216065259e+03
5.508076964054029391e-07, 1.341340258964923704e+00, 1.589123797546577634e+03
5.794286964268809173e-07, 1.144752661658742676e+00, 1.446301379943392476e+03
6.095368972401687385e-07, 9.769611120479486654e-01, 1.316966427914428778e+03
6.412095765851608593e-07, 8.337509842083113965e-01, 1.199805939748525361e+03
6.745280276979215670e-07, 7.115220102612258568e-01, 1.093634046566497091e+03
7.095777679633887827e-07, 6.072020504246340433e-01, 9.973842255541842405e+02
7.464487584100661313e-07, 5.181683926454411226e-01, 9.100953234424343918e+02
7.852356346100710336e-07, 4.421824278080084825e-01, 8.309016899303725268e+02
8.260379495771783370e-07, 3.773326962085226666e-01, 7.590222012478172928e+02
8.689604292863010418e-07, 3.219883904322062840e-01, 6.937544332521915749e+02
9.141132414702490036e-07, 2.747568846540726084e-01, 6.344640542885036893e+02
9.616122783836638888e-07, 2.344493584908092232e-01, 5.805788324821062361e+02
1.011579454259898283e-06, 2.000514402203076580e-01, 5.315835935845874474e+02
1.064143018224315170e-06, 1.706971413548807881e-01, 4.870132876819812964e+02
1.119437883467150232e-06, 1.456475974317750499e-01, 4.464492675063506795e+02
1.177605973520806597e-06, 1.242716328643305307e-01, 4.095122267222179175e+02
1.238796586530369050e-06, 1.060309493869116965e-01, 3.758611383996187101e+02
1.303166778452298707e-06, 9.046600747218551397e-02, 3.451879108644291136e+02
1.370881766164852098e-06, 7.718429004365998103e-02, 3.172131776231379945e+02
1.442115351524868011e-06, 6.585126948753101950e-02, 2.916865076151818812e+02
1.517050367459335277e-06, 5.618102331849805092e-02, 2.683799375282540609e+02
1.595879147236730565e-06, 4.792989453977909015e-02, 2.470891441799598454e+02
1.678804018122558985e-06, 4.088969163986224536e-02, 2.276283143449312831e+02
1.766037820686164116e-06, 3.488283566762609422e-02, 2.098299521374889309e+02
1.857804455091697021e-06, 2.975775919205219180e-02, 1.935425027537245342e+02
