# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.510080154164146180e-08, 4.503267425019259349e+02, 1.261979096158327593e+05
1.588546748597777465e-08, 3.845465559319815725e+02, 1.133901958427637583e+05
1.671090614310706979e-08, 3.283722079163243848e+02, 1.018826918543671345e+05
1.757923613958693077e-08, 2.804010704360024988e+02, 9.154332396761028212e+04
1.849268618978079709e-08, 2.394355246166602740e+02, 8.225350799936628027e+04
1.945360081622663184e-08, 2.044528859478214997e+02, 7.390674233077732788e+04
2.046444636724671542e-08, 1.745797155880476055e+02, 6.640733060187067895e+04
2.152781734724369502e-08, 1.490698047275806175e+02, 5.966918927893750515e+04
2.264644307593057319e-08, 1.272862490499265675e+02, 5.361512102823491296e+04
2.382319469358689039e-08, 1.086847407636284544e+02, 4.817561011185329698e+04
2.506109253032113907e-08, 9.280073931531093478e+01, 4.328832857873733155e+04
2.636331385825381413e-08, 7.923735371910841252e+01, 3.889720213836585754e+04
2.773320104651840969e-08, 6.765558692254911932e+01, 3.495182021741979406e+04
2.917427014001165809e-08, 5.776609484966672881e+01, 3.140696920528924602e+04
3.069021988391154998e-08, 4.932165122266025747e+01, 2.822195789390663413e+04
3.228494121712631338e-08, 4.211119481224367433e+01, 2.536026123546319650e+04
3.396252725904081622e-08, 3.595445638746826944e+01, 2.278904594637152331e+04
3.572728381519288657e-08, 3.069750218978622414e+01, 2.047881798913426974e+04
3.758374042884442742e-08, 2.620888727463897183e+01, 1.840308364114948927e+04
3.953666200681278862e-08, 2.237634866495257668e+01, 1.653802880256568460e+04
4.159106104940218542e-08, 1.910402600818411045e+01, 1.486226130996283246e+04
